distort - искажать														fairly - достаточно	
make up - составлять													apprentice - подмастерье	
adopt - принимать														clog - засорять, помеха
as opposed - в отличии													sever - разорвана
obscure - смутный (неясный)												breakdown - разрушение
relay - ретранслировать (переключать)									stuff - материал
sanction - одобрение													accomodate - приспосабливать
foundation - основа													    congestion - загруженность
trove - клад															spoofing - подмена
rag-tag - шушера														throttle - дроссель
attaraction - притяжение (привлекательность)							flurry - шквал
comprise - включать														doorstep - порог	
otherwise - в противном случае											implication - причастность
inflate - надувать														ultimate - конечный
stale - несвежий														adjacent - примыкающий
came along - появился													saturate - насыщенный
adhere - придерживаться													scarce - дефицитный
overlap - перекрытие													rectify - устранять
aside - в стороне														adhere - придерживаться (приставать)
aside from - помимо														rear - тыл (выращивать)
scramble - свалка														get underway - начать		
whether - ли 															round trips  - поездки туда и обратно
drill - сверлить														tagged - меченый
dangle - мотаться, болтаться											compounding - составлять
dangle off - свисать													ancestral - наследственный
portion - часть															squat - сидеть на корточках		
move around - перемещение												swell - набухать
inflect - сгибать, гнуть, изменять										drip - капельница
incorporate - включать													tingle - покалывание
yield - доходность, урожай, давать, уступать							numble - оцепеневший (онемевший)
devise - разрабатывать													breach - нарушение	
advent - прибытие														curb - сдерживание
get work done - закончить работу										entice - привлечь
peek - быстрый взгляд													rapporteur - докладчик	
line feed - перевод строки												came up - подошел
solely - исключительно													probe - щуп
followed by - с последующим												fend - парировать (заботиться)
bias - уклон, смещение, предвзятый										spectator - зритель		
summary - резюме														revenue - доход
intervene - вмешиваться													hijack - похищать
verbatim - дословный													swan - лебедь		
likewise - подобно														nephew - племянник
relay - ретранслировать													picturesque - живописный
controversy - спор														rejuvenate - восстанавливать
compliant - совместимый													roll out - выкатываться
permutation - перестановка (комбинация)									kick it - проводить время
mitigate - уменьшить													confront - противостоять
keen on - сосредоточиться (увлекаться)									glistening - сверкающий 
fully qualified - полное												falter - колебаться
bogus - фиктивный														stockpile - запас
straddle fence - занимать нейтральную позицию							cite - ссылаться
trailer - прицеп														hoax - ложь (розыгрыш)
fanfare - шумиха														falsehood - ложное утверждение
crux - основная проблема												rollout - внедрение
try back - вернуться (снова попытаться)                                 headlong - безудержный
accord - согласие                                                       gut - кишка (чутье)
juggle - жонглировать													oblique - непрямой угол
frailty - хрупкость														feasibly - выполнимо
mesmerize - гипнотизировать			     								dispirit - удручать
stubborn - упрямый														backdrop - заставка	
oblivion - забвение                                                     binge - выпивка
right on the money - правильно											trough - корыто
rant - разглагольствовать												demolish - уничтожать
abdicate - отрекаться													renown - известность			
surefire - безошибочный													comply - исполнять
detour - объезд                                                         nemesis - возмездие
around the time - пример в то время										slender - стройный, тонкий
chomp - чавкать 														lethal - летальный
hornet - шершень														captivity - неволя
twitch - подергиваются													rash - сыпь
pardon - помиловать														placeholder - заполнитель
applaud - аплодировать													helberd - алебарба
stroll - прогулка														faerie - феерический
dub - окрестить															wack - ненормальный
fuss - суетится															bulwark - оплот						
close-up - крупный план 												plexiglass - органическое стекло
enactment - принятие													vogue - мода
junk food - вредная пища  	 											quotient - частное
flat out - ошибся														alleged - предполагаемый
topple - падать (опрокидовать)											take down - записывать
confectionary - кондитерские изделия									bulge - выпячиваться
waddle - идти не торопясь												revolting - отвратительная
jellyfish - медуза														repulsive - омерзительный
garment - предмет одежды												indigenous - местный
suck up - подлизываться													denounce - осуждение
digress - отвлечься														jostle - толкаться
glacier - ледник														kick up - подымать
corollary - следствие													despicable - презренный	
scrounge - попрошайничать												cram - давка
fawn - олененок															wellhead - устье скважины
by far - безусловно														itinerary - маршрут
virtually - фактически													canine - собачий
contagious - заразный													feline - кошачий
excavate - рыть 														lay off - увольнять
retardant - замедлитель													encounter - встретить
spare - запасной														brisk - быстрый
nourishment - пища 														scour - прочесывать	
vigil - бодрствование													retailer - розничный торговец
meadow - газон															tyre - шина
hose - шланг															wade - брод (перейти бродом)
nibble - откусывать														pay off - расплачиваться			
cuisine - кухня 														interoperate - взаимодействие
dilute - разбавлять 													extant - сохранившийся		
submerse - погружаться 													payload - полезная нагрузка
nutrient - питательное вещество 										there are still - все еще есть
acute - сильный 														controversy - полемика (спор)
submerge - затоплять 													tends - имеет тенденцию
involuntary - непроизвольный 											errant - блуждающий	
retrieve - извлекать													piece - собирать
resort - прибегать 														curb - узда
downpour - ливень 														overlap - перекрытие
profusion - изобилие 													stem - происходить
groceries - бакалейные товары 											charcoal - древестный уголь	
shady - сомнительный 													in line with - to according
encompass - заключать в себя											propelled - самоходный
emerge - появляться														propelled by - движимый
unseat - лишать места													piggyback - комбинированный
inbound - прибывающий													discourage - отговаривать
outbound - исходящий													warrant - требует
peek - взгляд
meager - скудный (мизерный)
awry - косой
that is up to - является задачей
bandsaw - ленточная пила
inappropriately - неподобающе
boils down - сводиться к тому
contradict - противоречат
at first though - хотя поначалу
jubilant - ликующий
flout - пренебрегать
ups and downs - взлеты и падения 
